id,tanggal,kab,kec,kel,jenis,kk,jiwa,meninggal,hilang,luka,ungsi,ternak,rb,rs,rr,tmdm,sklh,ibdh,sarkes,ktr,kios,jmbtn,jln,swh,kebun,hutan,tmbk,kerugian,lat,lng,penyebab,kronologi,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by,terdampak,tertimbun,pabrik,tmdm_fu,tertimbun_fu,keterangan,ket_penanganan,status,anak_anak,perempuan,laki_laki,lansia,tertimbun_pendidikan,terendam_pendidikan,rr_pendidikan,rs_pendidikan,rb_pendidikan,tertimbun_kesehatan,terendam_kesehatan,rr_kesehatan,rs_kesehatan,rb_kesehatan,tertimbun_kantor,terendam_kantor,rr_kantor,rs_kantor,rb_kantor,tertimbun_ibadah,terendam_ibadah,rr_ibadah,rs_ibadah,rb_ibadah,rr_fu,rs_fu,rb_fu,tertimbun_jembatan,terendam_jembatan,rr_jembatan,rs_jembatan,rb_jembatan,tertimbun_pabrik,terendam_pabrik,rr_pabrik,rs_pabrik,rb_pabrik,tertimbun_toko,terendam_toko,rr_toko,rs_toko,rb_toko,lahan,irigasi,tertimbun_tanggul,terendam_tanggul,rr_tanggul,rs_tanggul,rb_tanggul,meninggal_laki,meninggal_perempuan,hilang_laki,hilang_perempuan,luka_laki,luka_perempuan,mengungsi_laki,mengungsi_perempuan,kategori_laki,kategori_perempuan,DT_RowIndex
3309,03 Maret 2015,Kab. Pangkajene Kepulauan,Pangkajene,Anrong Appaka,"<a href=""/data/3309 "">Banjir</a>",0,0,0,0,0,0,0,0,0,0,950,,,,,,,0,0,0,0,0,0,-3.509035,119.108276,"Angin yang berpotensi terjadi pada waktu siang hari atau malam hari ini terjadi karena pertemuan antara udara panas dan udara dingin, sehingga keduanya akan saling bentrok dan membentuk awan cumulonimbus hingga menjadi puting beliung. Faktor suhu yang tinggi juga dapat menjadi penyebab terjadinya bencana ini",Hujan deras disertai angin puting beliung,2023-06-23 05:40:00,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3248,21 Desember 2017,Kab. Pangkajene Kepulauan,Pangkajene,Anrong Appaka,"<a href=""/data/3248 "">Banjir</a>",250,0,0,0,0,0,0,0,0,0,250,,,,,,,0,0,0,0,0,0,-3.93687,120.146484,,Hujan dengan intensitas tinggi yang mengakibatkan air sungai meluap dengan deras yang mengakibatkan 250 unit rumah warga terendam,2023-06-23 04:25:30,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3247,21 Desember 2017,Kab. Pangkajene Kepulauan,Pangkajene,Tekolabbua,"<a href=""/data/3247 "">Banjir</a>",300,0,0,0,0,0,0,0,0,0,300,,,,,,,0,0,0,0,0,0,-4.375167,120.322266,,Hujan dengan intensitas tinggi yang mengakibatkan air sungai meluap dengan deras yang mengakibatkan 300 unit rumah warga terendam,2023-06-23 04:24:46,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3246,21 Desember 2017,Kab. Pangkajene Kepulauan,Pangkajene,Mappa Saile,"<a href=""/data/3246 "">Banjir</a>",300,0,0,0,0,0,0,0,0,0,300,,,,,,,0,0,0,0,0,0,-4.528511,119.882813,,Hujan dengan intensitas tinggi yang mengakibatkan air sungai meluap dengan deras yang mengakibatkan 300 unit rumah warga terendam,2023-06-23 04:23:46,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3244,21 Desember 2017,Kab. Pangkajene Kepulauan,Bungoro,Boriappaka,"<a href=""/data/3244 "">Banjir</a>",100,0,0,0,0,0,0,0,0,0,100,,,,,,,0,0,0,0,0,0,-4.331348,119.750977,,Hujan dengan intensitas tinggi yang mengakibatkan air sungai meluap dengan deras yang mengakibatkan 100 unit rumah warga terendam.,2023-06-23 04:22:21,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3243,21 Desember 2017,Kab. Pangkajene Kepulauan,Minasa Tene,Bonto Langkasa,"<a href=""/data/3243 "">Banjir</a>",150,0,0,0,0,0,0,0,0,0,150,,,,,,,0,0,0,0,0,0,-4.01359,119.915771,,Hujan dengan intensitas tinggi yang mengakibatkan air sungai meluap dengan deras yang mengakibatkan 150 unit rumah warga terendam,2023-06-23 04:20:46,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3241,21 Desember 2017,Kab. Pangkajene Kepulauan,Pangkajene,Padoang Doangan,"<a href=""/data/3241 "">Banjir</a>",85,0,0,0,0,0,0,0,0,85,0,,,,,,,0,0,0,0,0,0,-3.92591,119.674072,,Hujan dengan intensitas tinggi yang mengakibatkan air sungai meluap dengan deras yang mengakibatkan 85 unit rumah warga rusak ringan.,2023-06-23 04:17:56,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3253,16 Januari 2018,Kab. Pangkajene Kepulauan,Labakkang,Borimasunggu,"<a href=""/data/3253 "">Banjir</a>",30,0,0,0,0,0,0,0,0,0,30,,,,,,,0,0,0,0,0,0,-4.243704,119.827881,,Hujan dengan intensitas tinggi yang mengakibatkan air sungai meluap dengan deras yang mengakibatkan 30 unit rumah warga terendam,2023-06-23 04:31:51,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3642,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Benteng,"<a href=""/data/3642 "">Banjir</a>",79,0,0,0,0,0,0,0,0,0,79,,,,,,,0,84,0,0,0,0,-3.761486,120.06958,,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 79 rumah terendam dan 84 ha sawah rusak.,2023-07-18 03:34:30,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3641,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Coppo Tompong,"<a href=""/data/3641 "">Banjir</a>",57,0,0,0,0,0,0,0,0,0,57,,,,,,,0,84,0,0,0,0,-3.333841,119.718018,,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 57 rumah terendam dan 84 ha sawah rusak.,2023-07-18 03:32:29,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3640,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Boddie,"<a href=""/data/3640 "">Banjir</a>",32,0,0,0,0,0,0,0,0,0,32,,,,,,,0,32,0,0,4,0,-3.520275,119.4104,,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 66 rumah terendam dan 106 ha sawah rusak serta 4 ha tambak yang rusak.,2023-07-18 03:30:28,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3639,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Manggalung,"<a href=""/data/3639 "">Banjir</a>",78,0,0,0,0,0,0,0,0,0,78,,,,,,,0,30,0,0,2,0,-3.388678,119.509277,,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 66 rumah terendam dan 106 ha sawah rusak serta 2 ha tambak.,2023-07-18 03:28:11,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3638,22 Januari 2019,Kab. Pangkajene Kepulauan,Mandalle,Tama'rupa,"<a href=""/data/3638 "">Banjir</a>",94,0,0,0,0,0,0,0,0,0,94,,,,,,,0,126,0,0,0,0,-3.893028,120.003662,,Cuaca ekstrim terjadi beberapa hari mengakibatkan luapan air hujan di beberapa wilayah setinggi mata kaki sampai betis orang dewasa yang mengakibatkan 94 rumah terendam dan 126 ha sawah rusak.,2023-07-18 03:23:51,,,41,,,0,0,,0,0,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
